"","Article_ID","Total_Cohort","Measure_Name","Measure_Value","X95_CI_lower","X95_CI_upper","N1_Cancer","N2_No_Cancer","n","OR","study_id","odds_ratio","lower_ci","upper_ci"
"1","Di Luccia, 2010","1,216","OR",3.04,1.22,7.57,0,0,1216,3.04,"Di Luccia, 2010",3.04,1.22,7.57
"2","Brewster, 2010","77,518","SIR",1.4,0.17,5.04,0,0,77518,0.285714285714286,"Brewster, 2010",0.285714285714286,0.17,5.04
"3","Brewster, 2010","77,518","SIR",0,0,3.11,0,0,77518,0.1,"Brewster, 2010",0.1,0,3.11
"4","Cnattingius, 1995","89","OR",7.5,1.8,31.9,0,0,89,7.5,"Cnattingius, 1995",7.5,1.8,31.9
"5","Bugaiaki-Shaked, 2022","342,172","HR",1.33,0.95,1.84,0,0,342172,1.33,"Bugaiaki-Shaked, 2022",1.33,0.95,1.84
"6","Bugaiaki-Shaked, 2022","342,172","HR",1.09,0.92,1.3,0,0,342172,1.09,"Bugaiaki-Shaked, 2022",1.09,0.92,1.3
"7","Bugaiaki-Shaked, 2022","342,172","HR",1.02,0.62,1.69,0,0,342172,1.02,"Bugaiaki-Shaked, 2022",1.02,0.62,1.69
"8","Bugaiaki-Shaked, 2022","342,172","HR",1.51,0.99,2.29,0,0,342172,1.51,"Bugaiaki-Shaked, 2022",1.51,0.99,2.29
"9","Bugaiaki-Shaked, 2022","342,172","HR",1.53,0.95,2.48,0,0,342172,1.53,"Bugaiaki-Shaked, 2022",1.53,0.95,2.48
"10","Bugaiaki-Shaked, 2022","342,172","HR",1.35,0.63,2.92,0,0,342172,1.35,"Bugaiaki-Shaked, 2022",1.35,0.63,2.92
"17","Oslen, 1996","55,120","SIR",1,0.8,1.3,0,0,55120,0.1,"Oslen, 1996",0.1,0.8,1.3
"18","Oslen, 1996","55,120","SIR",1.7,0.5,4.3,0,0,55120,0.411764705882353,"Oslen, 1996",0.411764705882353,0.5,4.3
"19","Oslen, 1996","55,120","SIR",1,0.4,2.2,0,0,55120,0.1,"Oslen, 1996",0.1,0.4,2.2
"20","Oslen, 1996","55,120","SIR",3,0.3,11,0,0,55120,0.666666666666667,"Oslen, 1996",0.666666666666667,0.3,11
"21","Oslen, 1996","55,120","SIR",0,0,2.9,0,0,55120,0.1,"Oslen, 1996",0.1,0,2.9
"22","Oslen, 1996","55,120","SIR",0.7,0.1,2,0,0,55120,0.1,"Oslen, 1996",0.1,0.1,2
"23","Oslen, 1996","55,120","SIR",0.9,0.6,1.4,0,0,55120,0.1,"Oslen, 1996",0.1,0.6,1.4
"24","Oslen, 1996","55,120","SIR",0.8,0.1,2.8,0,0,55120,0.1,"Oslen, 1996",0.1,0.1,2.8
"25","Oslen, 1996","55,120","SIR",0.6,0,3.4,0,0,55120,0.1,"Oslen, 1996",0.1,0,3.4
"26","Oslen, 1996","55,120","SIR",1.5,0.2,5.3,0,0,55120,0.333333333333333,"Oslen, 1996",0.333333333333333,0.2,5.3
"27","Oslen, 1996","55,120","SIR",1.4,0.5,3,0,0,55120,0.285714285714286,"Oslen, 1996",0.285714285714286,0.5,3
"28","Oslen, 1996","55,120","SIR",0.7,0,4.1,0,0,55120,0.1,"Oslen, 1996",0.1,0,4.1
"29","Oslen, 1996","55,120","SIR",1.2,0.8,1.7,0,0,55120,0.166666666666667,"Oslen, 1996",0.166666666666667,0.8,1.7
"30","Oslen, 1996","55,120","SIR",0.2,0,1.2,0,0,55120,0.1,"Oslen, 1996",0.1,0,1.2
"31","Seppala, 2021","10103","Adjusted OR",2.69,0.91,1.35,0,0,10103,2.69,"Seppala, 2021",2.69,0.91,1.35
"32","Wickremasinghe, 2016","5,144,861","Adjusted OR",2.69,0.91,1.35,0,0,5144861,2.69,"Wickremasinghe, 2016",2.69,0.91,1.35
"33","Wickremasinghe, 2016","5,144,861","Adjusted OR",1.4,1.1,1.9,0,0,5144861,1.4,"Wickremasinghe, 2016",1.4,1.1,1.9
"34","Wickremasinghe, 2016","5,144,861","Adjusted OR",1.8,1.1,3.1,0,0,5144861,1.8,"Wickremasinghe, 2016",1.8,1.1,3.1
"35","Wickremasinghe, 2016","5,144,861","Adjusted OR",1.3,0.6,2.9,0,0,5144861,1.3,"Wickremasinghe, 2016",1.3,0.6,2.9
"36","Wickremasinghe, 2016","5,144,861","Adjusted OR",2.6,1.3,5,0,0,5144861,2.6,"Wickremasinghe, 2016",2.6,1.3,5
"37","Wickremasinghe, 2016","5,144,861","Adjusted OR",1,0.5,2.1,0,0,5144861,1,"Wickremasinghe, 2016",1,0.5,2.1
"38","Wickremasinghe, 2016","5,144,861","Adjusted OR",1,0.4,2.7,0,0,5144861,1,"Wickremasinghe, 2016",1,0.4,2.7
"39","Wickremasinghe, 2016","5,144,861","Adjusted OR",2.5,1.2,5.1,0,0,5144861,2.5,"Wickremasinghe, 2016",2.5,1.2,5.1
"40","Wickremasinghe, 2016","5,144,861","Adjusted OR",0.6,0.2,2.5,0,0,5144861,0.6,"Wickremasinghe, 2016",0.6,0.2,2.5
"41","Wickremasinghe, 2016","5,144,861","Adjusted OR",0.4,0.1,2.7,0,0,5144861,0.4,"Wickremasinghe, 2016",0.4,0.1,2.7
